Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Soumya Suravita Nanda   (Physiotherapist),BPTh/BPT,8 Years Experience Overall,Physiotherapist,"Wakad, Pune",99%,(175 votes),₹300
Dr. Sumi Dey   (Physiotherapist),BPTh/BPT,8 Years Experience Overall,Physiotherapist,"Jayanagar 4 Block, Bangalore",91%,(11 votes),₹650
Dr. Kishori Vaidya   (Physiotherapist),MPTh/MPT - Musculoskeletal Physiotherapy,14 Years Experience Overall,Physiotherapist,"RMV 2nd Stage, Bangalore",100%,(16 votes),₹400
Dr. Richa Singh,BPTh/BPT,14 Years Experience Overall,Physiotherapist,"HSR Layout, Bangalore",93%,(233 votes),₹700
Dr. Kiran Mulchandani   (Physiotherapist),BPTh/BPT,4 Years Experience Overall,Physiotherapist,"Aundh, Pune",0,0,₹500
Dr. Vijaya Lakshmi Gosangi   (Physiotherapist),BPTh/BPT,2 Years Experience Overall,Physiotherapist,"KPHB, Hyderabad",0,0,₹600
Dr. Anjali Verma   (Physiotherapist),BPTh/BPT,3 Years Experience Overall,Physiotherapist,"Indiranagar, Bangalore",0,0,₹500
Dr. Chintan Bhindora   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",13 Years Experience Overall,Physiotherapist,"Pimple Saudagar, Pune",96%,(936 votes),₹300
Dr. Janet Priya   (Physiotherapist),MPTh/MPT - Orthopedic Physiotherapy,16 Years Experience Overall  (15 years as specialist),Physiotherapist,"Teynampet, Chennai",0,0,₹500
Dr. Shweta Tikoo   (Physiotherapist),BPTh/BPT,10 Years Experience Overall,Physiotherapist,"Indiranagar, Bangalore",0,0,₹650
Dr. Piyush Jain   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",10 Years Experience Overall  (6 years as specialist),Physiotherapist,"Karkardooma, Delhi",100%,(100 votes),₹1000
Dr. Shreyansh Kumar Singh   (Physiotherapist),Diploma in Physiotherapy,5 Years Experience Overall,Physiotherapist,"Dwarka Sector 1, Delhi",0,0,₹199
Dr. V.Premalatha   (Physiotherapist),BPTh/BPT,10 Years Experience Overall,Physiotherapist,"HRBR Layout, Bangalore",0,0,₹500
Dr. Jharna Damania   (Physiotherapist),BPTh/BPT,5 Years Experience Overall,Physiotherapist,"Vileparle East, Mumbai",0,0,₹1200
Dr. Saroja G   (Physiotherapist),"BPTh/BPT, MPT - Orthopaedics & Traumatology",11 Years Experience Overall,Physiotherapist,"Kondapur, Hyderabad",0,0,₹500
Dr. K Rekha   (Physiotherapist),BPTh/BPT,16 Years Experience Overall,Physiotherapist,"Kodambakkam, Chennai",95%,(19 votes),₹500
Dr. Christina Nissi   (Physiotherapist),MPTh/MPT - Neurological Physiotherapy,8 Years Experience Overall  (7 years as specialist),Physiotherapist,"Raja Annamalai Puram, Chennai",100%,(11 votes),₹400
Dr. Srinivas Reddy   (Physiotherapist),MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy,6 Years Experience Overall,Physiotherapist,"Hitech City, Hyderabad",91%,(11 votes),₹400
Dr. Rajesh   (Physiotherapist),"BPTh/BPT, MSc. - Physiotherapy",17 Years Experience Overall,Physiotherapist,"Gachibowli, Hyderabad",100%,(17 votes),₹700
Dr. Jagadeesan   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",16 Years Experience Overall,Physiotherapist,"Anna Nagar West, Chennai",94%,(186 votes),₹600
Dr. Archita Tiwari   (Physiotherapist),BPTh/BPT,5 Years Experience Overall,Physiotherapist,"Koramangala 6 Block, Bangalore",99%,(261 votes),₹400
Dr. Kapil Chand Narra   (Physiotherapist),"MPTh/MPT - Orthopedic Physiotherapy, BPTh/BPT",20 Years Experience Overall  (8 years as specialist),Physiotherapist,"Madhapur, Hyderabad",96%,(541 votes),₹600
Dr. Anita Sharma   (Physiotherapist),Diploma in Physiotherapy,31 Years Experience Overall,Physiotherapist,"Greater Kailash Part 2, Delhi",0,0,₹1200
Dr. Dimple Kapasi   (Physiotherapist),BPTh/BPT,19 Years Experience Overall,Physiotherapist,"Kandivali West, Mumbai",99%,(80 votes),₹1200
Dr. Sudin Maharjan   (Physiotherapist),"BPTh/BPT, Masters of Physiotheraphy",10 Years Experience Overall,Physiotherapist,"Banashankari 3rd Stage, Bangalore",0,0,₹350
Dr. Ram Kumar   (Physiotherapist),BPTh/BPT,4 Years Experience Overall,Physiotherapist,"Indiranagar, Bangalore",0,0,₹650
Dr. M Diwakar,"MBBS, M.D. (Psychiatry)",28 Years Experience Overall  (19 years as specialist),Psychiatrist,"Cox Town, Bangalore",98%,(182 votes),₹900
Dr. Safiya M.S,"MBBS, Diploma in Psychiatry",17 Years Experience Overall  (13 years as specialist),Psychiatrist,"Sahakaranagar, Bangalore",97%,(2664 votes),₹1500
Dr. Manjunath H,"DPM (Psychiatry), MBBS",23 Years Experience Overall  (9 years as specialist),Psychiatrist,"Indiranagar, Bangalore",64%,(22 votes),₹750
Dr. Vijay Mehtry,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"JP Nagar 7 Phase, Bangalore",98%,(191 votes),₹800
Dr. Sony Mathews Lukose,"MBBS, M.D. (Psychiatry)",12 Years Experience Overall  (6 years as specialist),Psychiatrist,"Sahakaranagar, Bangalore",0,0,₹1500
Dr. Sumanth T P,"M.D. (Psychiatry), MBBS",16 Years Experience Overall  (11 years as specialist),Psychiatrist,"Chandra Layout, Bangalore",95%,(21 votes),₹1000
Dr. Dhruva Ithal,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (7 years as specialist),Psychiatrist,"Yelahanka, Bangalore",0,0,₹1000
Dr. Ashok Shetty,"MBBS, M.D. (Psychiatry)",23 Years Experience Overall  (6 years as specialist),Psychiatrist,"Vijayanagar, Bangalore",96%,(56 votes),₹900
Dr. Meena Gnanasekharan,"MBBS, CCT- Child and Adolescent Psychiatry, Diplomate of American Board of Psychiatry and Neurology, M.D. (Psychiatry)",27 Years Experience Overall  (17 years as specialist),Psychiatrist,"Hebbal, Bangalore",85%,(398 votes),₹2830
Dr. Shobha Krishna,"MBBS, MRCPsych",30 Years Experience Overall  (16 years as specialist),Psychiatrist,"Jayanagar, Bangalore",96%,(219 votes),₹1500
Dr. D. Akshatha Gowda,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (4 years as specialist),Psychiatrist,"Vijayanagar, Bangalore",92%,(13 votes),₹800
Dr. Kapur B,"MBBS, M.D. (Psychiatry)",44 Years Experience Overall,Psychiatrist,"Hebbal, Bangalore",91%,(32 votes),₹2130
Dr. Shilpa Sri S.K,"MBBS, DPM (Psychiatry)",18 Years Experience Overall  (12 years as specialist),Psychiatrist,"Basaveshwaranagar, Bangalore",98%,(169 votes),₹850
Dr. Kiran Kumar K,"MBBS, M.D. (Psychiatry)",18 Years Experience Overall  (12 years as specialist),Psychiatrist,"Marathahalli, Bangalore",97%,(374 votes),₹800
Dr. Ravi Prakash,"MBBS, DPM (Psychiatry), MD - Physiology",18 Years Experience Overall  (14 years as specialist),Psychiatrist,"Mathikere - BEL, Bangalore",94%,(509 votes),₹1200
Dr. Sushruth,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (5 years as specialist),Psychiatrist,"Indiranagar, Bangalore",98%,(359 votes),₹750
Dr. Krishen Ranganath,"MBBS, MRCPsych, Diploma in Clinical Psychiatry",22 Years Experience Overall  (16 years as specialist),Psychiatrist,"Richmond Town, Bangalore",99%,(106 votes),₹1600
Dr. Shivadev M,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (12 years as specialist),Psychiatrist,"Koramangala 6 Block, Bangalore",99%,(238 votes),₹1000
Dr. Vijayakumar D.R,"MBBS, DPM (Psychiatry)",28 Years Experience Overall  (25 years as specialist),Psychiatrist,"Whitefield, Bangalore",85%,(33 votes),₹1700
Dr. Satish Ramaiah,"MBBS, MRCPsych",21 Years Experience Overall  (12 years as specialist),Psychiatrist,"Yelahanka, Bangalore",98%,(1413 votes),₹1500
Dr. Naveen Jayaram,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (10 years as specialist),Psychiatrist,"Whitefield, Bangalore",98%,(841 votes),₹1500
Dr. Anand Jayaraman,"MBBS, MRCPsych",25 Years Experience Overall  (19 years as specialist),Psychiatrist,"Millers Road, Bangalore",87%,(45 votes),₹1000
Dr. Vinutha R,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Vidyaranyapura, Bangalore",0,0,₹1500
Dr. Divya Ganesh Nallur,"MBBS, MRCPsych, Master of Psychiatry - MPSY",22 Years Experience Overall  (17 years as specialist),Psychiatrist,"Indiranagar, Bangalore",95%,(281 votes),₹2000
Dr. Khushboo Dewani,"M.D. (Psychiatry), MBBS",8 Years Experience Overall  (3 years as specialist),Psychiatrist,"Nagarbhavi, Bangalore",99%,(101 votes),₹750
Dr. Bhargavaraman R P,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",22 Years Experience Overall  (17 years as specialist),Psychiatrist,"Koramangala, Bangalore",100%,(26 votes),₹1600
Dr. Lavanya,"MBBS, DPM (Psychiatry)",17 Years Experience Overall  (6 years as specialist),Psychiatrist,"Vidyaranyapura, Bangalore",72%,(18 votes),₹1500
Dr. Sreelakshmi Sharma,"MBBS, M.D. (Psychiatry)",7 Years Experience Overall  (3 years as specialist),Psychiatrist,"Indiranagar, Bangalore",100%,(18 votes),₹1400
Dr. Gajanan Kulkarni,"MBBS, Diploma in Psychiatry, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Jayanagar, Bangalore",97%,(35 votes),₹1000
Dr. Lakshmi S,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Banashankari 3rd Stage, Bangalore",97%,(33 votes),₹900
Dr. Sarika Manoli,"MBBS, M.D. (Psychiatry)",20 Years Experience Overall  (12 years as specialist),Psychiatrist,"BTM Layout 2nd Stage, Bangalore",72%,(366 votes),₹1200
Dr. Shreedhar K B,"MBBS, DPM (Psychiatry), DNB - Psychiatry, Fellow of the Royal Australian and New Zealand College of Psychiatrists (FRANZCP)",20 Years Experience Overall  (18 years as specialist),Psychiatrist,"Koramangala, Bangalore",100%,(22 votes),₹1600
Dr. Vyjayanti Bonanthaya,"MBBS, M.D. (Psychiatry)",34 Years Experience Overall  (30 years as specialist),Psychiatrist,"Old Airport Road, Bangalore",81%,(32 votes),₹900
Dr. Raja Hiremani,"MBBS, M.D. (Psychiatry), Fellow of the Royal Australian and New Zealand College of Psychiatrists (FRANZCP)",20 Years Experience Overall  (16 years as specialist),Psychiatrist,"Koramangala, Bangalore",96%,(49 votes),₹1600
Dr. Venkatesh Babu G M,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (10 years as specialist),Psychiatrist,"Bannerghatta Road, Bangalore",85%,(94 votes),₹1000
Dr. Karthik K N,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (8 years as specialist),Psychiatrist,"Jayanagar, Bangalore",86%,(21 votes),₹850
Dr. Megha Mahajan,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (9 years as specialist),Psychiatrist,"Bannerghatta Road, Bangalore",87%,(15 votes),₹850
Dr. Yamini D,"MBBS, M.D. (Psychiatry)",7 Years Experience Overall,Psychiatrist,"Yelahanka, Bangalore",92%,(13 votes),₹1000
Dr. Swapna B,"MBBS, M.D. (Psychiatry)",20 Years Experience Overall  (14 years as specialist),Psychiatrist,"HSR Layout, Bangalore",89%,(18 votes),₹1200
Dr. Sabina Rao,"MBBS, Diplomate of American Board of Psychiatry and Neurology",22 Years Experience Overall  (14 years as specialist),Psychiatrist,"Sarjapur Road, Bangalore",93%,(55 votes),₹1100
Dr. Vinod Kumar,"Diploma in Clinical Psychiatry, MBBS, MRCPsych",27 Years Experience Overall  (21 years as specialist),Psychiatrist,"St.John's Road, Bangalore",0,0,₹1400
Dr. Poornima C,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (4 years as specialist),Psychiatrist,"HRBR Layout, Bangalore",0,0,₹700
Dr. Guru Prakash K V,"M.D. (Psychiatry), MBBS",16 Years Experience Overall  (4 years as specialist),Psychiatrist,"Vijayanagar, Bangalore",100%,(132 votes),₹1000
Dr. Shradha Shejekar,"M.D. (Psychiatry), MBBS",9 Years Experience Overall  (3 years as specialist),Psychiatrist,"HBR Layout, Bangalore",0,0,₹1500
Dr. Valli Kiran Manduva,"MBBS, DPM (Psychiatry)",21 Years Experience Overall  (16 years as specialist),Psychiatrist,"Rajarajeshwarinagar, Bangalore",0,0,₹1200
Dr. Anitha Chandra,"MBBS, MRCPsych, CCT - Old Age Psychiatry",22 Years Experience Overall  (12 years as specialist),Psychiatrist,"Sahakaranagar, Bangalore",0,0,₹1100
Dr. Varsha B G,"MBBS, DNB - Psychiatry",6 Years Experience Overall,Psychiatrist,"Nagasandra, Bangalore",0,0,₹750
Dr. Bhavya K Bairy,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (7 years as specialist),Psychiatrist,"Sampangiramnagar, Bangalore",0,0,₹1200
Dr. Vachana,"MBBS, M.D. (Psychiatry)",6 Years Experience Overall  (3 years as specialist),Psychiatrist,"Whitefield, Bangalore",0,0,₹1000
Dr. Supriya Dsilva,"MBBS, DPM (Psychiatry), DNB - Psychiatry",8 Years Experience Overall  (6 years as specialist),Psychiatrist,"Sarjapur Road, Bangalore",0,0,₹1050
Dr. Vani P,"M.D. (Psychiatry), MBBS",4 Years Experience Overall,Psychiatrist,"HSR Layout, Bangalore",0,0,₹1200
Dr. Vikram Arunachalam,"MBBS, DNB - Psychiatry",20 Years Experience Overall  (10 years as specialist),Psychiatrist,"Malleswaram, Bangalore",0,0,₹1250
Dr. Soumya P,"MBBS, DNB - Psychiatry, DPM (Psychiatry)",12 Years Experience Overall  (11 years as specialist),Psychiatrist,"Indiranagar, Bangalore",0,0,₹1200
Dr. R Prabhu,"MBBS, Diploma in Clinical Psychiatry, MRCPsych, CCT- Child and Adolescent Psychiatry",26 Years Experience Overall  (16 years as specialist),Psychiatrist,"Yelahanka, Bangalore",0,0,₹1500
Dr. Pavana.S,"MBBS, DPM (Psychiatry)",15 Years Experience Overall  (10 years as specialist),Psychiatrist,"Vidyaranyapura, Bangalore",55%,(11 votes),₹1000
Dr. Vidya M K,"MBBS, DPM (Psychiatry), DNB - Psychiatry",14 Years Experience Overall  (10 years as specialist),Psychiatrist,"Yelahanka, Bangalore",100%,(11 votes),₹1000
Dr. Prakruthi N,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (7 years as specialist),Psychiatrist,"Whitefield, Bangalore",89%,(18 votes),₹1000
Dr. Vidhyavathi M,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (8 years as specialist),Psychiatrist,"Malleswaram, Bangalore",0,0,₹1250
Dr. Deepthi Saka,"M.D. (Psychiatry), MBBS",6 Years Experience Overall  (4 years as specialist),Psychiatrist,"Yelahanka, Bangalore",0,0,₹850
Dr. Pankaj B Borade,"M.D. (Psychiatry), MBBS",13 Years Experience Overall  (6 years as specialist),Psychiatrist,"Camp, Pune",99%,(275 votes),₹1500
Dr. Pranavjeet Kaldate,"DPM (Psychiatry), MBBS",6 Years Experience Overall  (3 years as specialist),Psychiatrist,"Aundh, Pune",0,0,₹1200
Dr. Rishikesh Behere,"M.D. (Psychiatry), MBBS",19 Years Experience Overall  (14 years as specialist),Psychiatrist,"Baner, Pune",95%,(78 votes),₹1500
Dr. Veena Raghuvanshi,"BHMS, M.D. Hom. (Psychiatry)",8 Years Experience Overall  (3 years as specialist),Psychiatrist,"Aundh, Pune",100%,(24 votes),₹700
Dr. Avinash Karde,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (4 years as specialist),Psychiatrist,"Fatima Nagar, Pune",100%,(12 votes),₹1000
Dr. Amol Jawale,"MBBS, M.D. (Psychiatry)",8 Years Experience Overall  (4 years as specialist),Psychiatrist,"Wakad, Pune",0,0,₹800
Dr. Paras Lavatre,"M.D. (Psychiatry), MBBS",52 Years Experience Overall  (42 years as specialist),Psychiatrist,"Kalyani Nagar, Pune",88%,(210 votes),₹1000
Dr. Ashwini Kulkarni,"M.D. (Psychiatry), MBBS",10 Years Experience Overall  (9 years as specialist),Psychiatrist,"Pimpri-Chinchwad, Pune",99%,(144 votes),₹800
Dr. Bhushan Mhetre,"MBBS, M.D. (Psychiatry)",17 Years Experience Overall  (9 years as specialist),Psychiatrist,"Warje, Pune",97%,(137 votes),₹1500
Dr. Roshita Khare,"MBBS, DPM (Psychiatry)",17 Years Experience Overall  (13 years as specialist),Psychiatrist,"Baner, Pune",98%,(310 votes),₹1200
Dr. Anjendra R Targe,"M.D. (Psychiatry), MBBS",17 Years Experience Overall  (7 years as specialist),Psychiatrist,"Kharadi, Pune",98%,(753 votes),₹1500
Dr. M B Pethe,"MBBS, M.D. (Psychiatry)",52 Years Experience Overall  (44 years as specialist),Psychiatrist,"Wanowrie, Pune",0,0,₹750
Dr. Ninad Baste,"MBBS, MD - Psychological Medicine",21 Years Experience Overall  (15 years as specialist),Psychiatrist,"Aundh, Pune",96%,(423 votes),₹1200
Dr. Niket Kasar,"DPM (Psychiatry), MBBS",22 Years Experience Overall  (17 years as specialist),Psychiatrist,"Tilak Road, Pune",100%,(107 votes),₹1500
Dr. Rajesh Nalawade,"M.D. Hom. (Psychiatry), BHMS",21 Years Experience Overall  (15 years as specialist),Psychiatrist,"Nigdi, Pune",100%,(62 votes),₹1000
Dr. Trupti Vedpathak,"DPM (Psychiatry), MBBS, MRCPsych",18 Years Experience Overall  (14 years as specialist),Psychiatrist,"Baner, Pune",94%,(18 votes),₹1000
Dr. Vinayak Jarhad,"M.D. (Psychiatry), MBBS",18 Years Experience Overall  (12 years as specialist),Psychiatrist,"Sangavi, Pune",0,0,₹700
Dr. Manish Bajpayee,"MBBS, M.D. (Psychiatry)",33 Years Experience Overall  (26 years as specialist),Psychiatrist,"Kondhwa, Pune",92%,(84 votes),₹800
Dr. Dnyanda Nakul Deshpande,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (6 years as specialist),Psychiatrist,"Deccan Gymkhana, Pune",97%,(76 votes),₹800
Dr. Vejaya Goyal,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall,Psychiatrist,"Vishrantwadi, Pune",94%,(164 votes),₹800
Dr. Disha Parikh,"MBBS, M.D. (Psychiatry)",9 Years Experience Overall  (4 years as specialist),Psychiatrist,"Baner, Pune",98%,(45 votes),₹1200
Dr. Sumit Chandak,"M.D. (Psychiatry), MBBS",19 Years Experience Overall  (13 years as specialist),Psychiatrist,"Baner, Pune",96%,(69 votes),₹1650
Dr. Rahul Ratan,"DPM (Psychiatry), MBBS",10 Years Experience Overall  (6 years as specialist),Psychiatrist,"Kharadi, Pune",96%,(23 votes),₹850
Dr. Ananya Chitale,M.D. Hom. (Psychiatry),10 Years Experience Overall  (9 years as specialist),Psychiatrist,"Aundh, Pune",0,0,₹1000
Dr. Nikhil Kanase,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (8 years as specialist),Psychiatrist,"Pimple Saudagar, Pune",98%,(151 votes),₹1200
Dr. Amar Shinde,"MBBS, DPM (Psychiatry)",20 Years Experience Overall  (16 years as specialist),Psychiatrist,"Hadapsar, Pune",96%,(23 votes),₹800
Dr. Sayantani Mukherjee,"MBBS, DNB - Psychiatry",13 Years Experience Overall  (9 years as specialist),Psychiatrist,"Kharadi, Pune",0,0,₹1320
Dr. Bhushan Ambadkar,"MBBS, M.D. (Psychiatry)",13 Years Experience Overall  (3 years as specialist),Psychiatrist,"Wadgaon Sheri, Pune",100%,(23 votes),₹800
Dr. Sushil Deshmukh,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (2 years as specialist),Psychiatrist,"Deccan Gymkhana, Pune",100%,(29 votes),₹1000
Dr. Shweta Surendra Morwal,"MBBS, M.D. (Psychiatry)",4 Years Experience Overall  (1 year as specialist),Psychiatrist,"Deccan Gymkhana, Pune",0,0,₹1000
Dr. Manish Jain,"MBBS, M.D. (Psychiatry)",19 Years Experience Overall  (15 years as specialist),Psychiatrist,"Pusa Road, Delhi",98%,(538 votes),₹1800
Dr. Manish Sarkar,"MBBS, DPM (Psychiatry)",20 Years Experience Overall  (18 years as specialist),Psychiatrist,"CR Park, Delhi",96%,(317 votes),₹1800
Dr. Rohit Garg,"MBBS, M.D. (Psychiatry)",19 Years Experience Overall  (17 years as specialist),Psychiatrist,"CR Park, Delhi",96%,(732 votes),₹4000
Dr. Soumiya Mudgal,"M.D. (Psychiatry), MBBS",16 Years Experience Overall  (11 years as specialist),Psychiatrist,"Panchsheel Park, Delhi",80%,(25 votes),₹1500
Dr. Amit Garg,"MBBS, M.D. (Psychiatry)",19 Years Experience Overall  (13 years as specialist),Psychiatrist,"Rohini Sector 9, Delhi",97%,(140 votes),₹1500
Dr. Anuneet Sabharwal,"MBBS, M.D. (Psychiatry)",11 Years Experience Overall  (9 years as specialist),Psychiatrist,"Vivek Vihar, Delhi",99%,(481 votes),₹1000
Dr. Kushal jain,"M.D. (Psychiatry), MBBS, Master of Public Health (MPH)",19 Years Experience Overall  (14 years as specialist),Psychiatrist,"Lajpat Nagar, Delhi",96%,(215 votes),₹1100
Dr. Paramjeet Singh,"M.D. (Psychiatry), MBBS",18 Years Experience Overall  (13 years as specialist),Psychiatrist,"Karol Bagh, Delhi",100%,(67 votes),₹1200
Dr. Neelesh Tiwari,"MBBS, M.D. (Psychiatry)",21 Years Experience Overall  (19 years as specialist),Psychiatrist,"Janakpuri, Delhi",96%,(89 votes),₹2000
Dr. Ankit Gupta,"MBBS, MRCPsych, M.D. (Psychiatry)",12 Years Experience Overall  (8 years as specialist),Psychiatrist,"CR Park, Delhi",100%,(29 votes),₹1200
Dr. Deepak Verma,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (6 years as specialist),Psychiatrist,"Paschim Vihar, Delhi",98%,(286 votes),₹1500
Dr. Arvind Gautam,"MBBS, DNB - Psychiatry",16 Years Experience Overall  (5 years as specialist),Psychiatrist,"Dwarka Sector 6, Delhi",98%,(45 votes),₹1500
Dr. Animesh Sharma,"MBBS, M.D. (Psychiatry)",6 Years Experience Overall  (2 years as specialist),Psychiatrist,"South Extension 1, Delhi",100%,(12 votes),₹800
Dr. Sheenam Goyal,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (4 years as specialist),Psychiatrist,"Paschim Vihar, Delhi",88%,(32 votes),₹1500
Dr. L C Sunda,"MBBS, DNB - Psychiatry",40 Years Experience Overall  (20 years as specialist),Psychiatrist,"Paschim Vihar, Delhi",0,0,₹1800
Dr. Atmesh Kumar,"MBBS, M.D. (Psychiatry)",17 Years Experience Overall  (11 years as specialist),Psychiatrist,"Rohini, Delhi",96%,(54 votes),₹1200
Dr. Sagar Verma,"MBBS, M.D. (Psychiatry)",6 Years Experience Overall  (1 year as specialist),Psychiatrist,"Pitampura, Delhi",100%,(36 votes),₹1000
Dr. Sasha Raikhy,"MBBS, DNB - Psychiatry",18 Years Experience Overall  (8 years as specialist),Psychiatrist,"Safdarjung Enclave, Delhi",92%,(228 votes),₹1500
Dr. Apala Singh,"MBBS, M.D. (Psychiatry)",7 Years Experience Overall  (3 years as specialist),Psychiatrist,"Pitampura, Delhi",0,0,₹1000
Dr. Nripendra Kumar,"M.D. (Psychiatry), MBBS",15 Years Experience Overall  (14 years as specialist),Psychiatrist,"Azadpur, Delhi",94%,(17 votes),₹1500
Dr. Bhagwat N Rajput,"MBBS, DNB - Psychiatry",15 Years Experience Overall  (11 years as specialist),Psychiatrist,"Dwarka, Delhi",98%,(587 votes),₹1500
Dr. Neha Salhotra,"DNB - Psychiatry, MBBS",10 Years Experience Overall  (6 years as specialist),Psychiatrist,"Pitampura, Delhi",94%,(16 votes),₹1000
Dr. Dev Rai,"M.D. (Psychiatry), MBBS",9 Years Experience Overall  (3 years as specialist),Psychiatrist,"Jangpura, Delhi",0,0,₹1200
Dr. Akshara Mishra,"DNB - Psychiatry, MBBS",10 Years Experience Overall  (5 years as specialist),Psychiatrist,"Madhu Vihar, Delhi",0,0,₹800
Dr. Rajesh Kumar,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Patparganj, Delhi",93%,(30 votes),₹1000
Dr. Rajan,"M.D. (Psychiatry), MBBS",8 Years Experience Overall  (5 years as specialist),Psychiatrist,"Pitampura, Delhi",0,0,₹1200
Dr. K V S Lakshmi,"MBBS, DPM (Psychiatry), DNB - Psychiatry",7 Years Experience Overall,Psychiatrist,"Vasant Kunj, Delhi",0,0,₹1000
Dr. Samant Darshi,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (2 years as specialist),Psychiatrist,"Lajpat Nagar 4, Delhi",89%,(74 votes),₹1500
Dr. Bhavneet Kaur Kapoor,"M.D. (Psychiatry), MBBS",8 Years Experience Overall  (4 years as specialist),Psychiatrist,"Lajpat Nagar 4, Delhi",0,0,₹1000
Dr. Shwetank Bansal,"MBBS, M.D. (Psychiatry)",16 Years Experience Overall  (8 years as specialist),Psychiatrist,"Pusa Road, Delhi",98%,(926 votes),₹1800
Dr. Neha aggarwal,"M.D. (Psychiatry), MBBS",12 Years Experience Overall  (8 years as specialist),Psychiatrist,"Janakpuri, Delhi",92%,(39 votes),₹1100
Dr. Varsha Mahadik,"MBBS, DNB - Psychiatry",12 Years Experience Overall  (6 years as specialist),Psychiatrist,"CR Park, Delhi",98%,(95 votes),₹1000
Dr. Sugandha Gupta,"MBBS, DNB - Psychiatry",17 Years Experience Overall  (12 years as specialist),Psychiatrist,"Karol Bagh, Delhi",96%,(295 votes),₹1200
Dr. Monica Chib,"MBBS, M.D. (Psychiatry)",45 Years Experience Overall  (40 years as specialist),Psychiatrist,"Sarita Vihar, Delhi",0,0,₹2000
Dr. Prashant Goyal,"MBBS, M.D. (Psychiatry)",19 Years Experience Overall  (15 years as specialist),Psychiatrist,"Vikas Puri, Delhi",98%,(234 votes),₹1500
Dr. Neatu Narang,"MBBS, M.D. (Psychiatry), DNB - Psychiatry",34 Years Experience Overall  (27 years as specialist),Psychiatrist,"Sarita Vihar, Delhi",0,0,₹2500
Dr. Ratnarakshit Ingole,"M.D. (Psychiatry), MBBS",17 Years Experience Overall  (9 years as specialist),Psychiatrist,"Saket, Delhi",89%,(19 votes),₹800
Dr. Sumit Kumar Gupta,"MBBS, M.D. (Psychiatry)",18 Years Experience Overall  (13 years as specialist),Psychiatrist,"Pitampura, Delhi",99%,(176 votes),₹1200
Dr. Anil Yadav,"MBBS, M.D. (Psychiatry)",15 Years Experience Overall  (8 years as specialist),Psychiatrist,"Green Park, Delhi",97%,(215 votes),₹2000
Dr. Anjali Nagpal,"MBBS, M.D. (Psychiatry), DPM (Psychiatry)",26 Years Experience Overall  (12 years as specialist),Psychiatrist,"Vasant Kunj, Delhi",92%,(696 votes),₹2000
Dr. Puneet Mathur,"M.D. (Psychiatry), MBBS",12 Years Experience Overall  (6 years as specialist),Psychiatrist,"Panchsheel Park, Delhi",0,0,₹1200
Dr. Gourav Gupta,"MBBS, M.D. (Psychiatry)",14 Years Experience Overall  (8 years as specialist),Psychiatrist,"Rohini Sector 7, Delhi",98%,(99 votes),₹800
Dr. Desiree Saimbi,"MBBS, M.D. (Psychiatry)",10 Years Experience Overall  (7 years as specialist),Psychiatrist,"Jhandewalan, Delhi",97%,(29 votes),₹1200
Dr. Srikant Sharma,"M.D. (Psychiatry), MBBS",14 Years Experience Overall  (9 years as specialist),Psychiatrist,"Patel Nagar East, Delhi",99%,(555 votes),₹1500
