Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. B Benjamin,Pediatrician,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics",49,Adyar, Chennai,100,38,500
Dr. Sunita Shakdher,Pediatrician,"MBBS, MD - Pediatrics",44,Kilokri, Delhi,0,0,700
Dr. Tushar Parikh,Pediatrician,"MBBS, DNB - Pediatrics, DM - Neonatology",22,Kharadi, Pune,86,22,650
Dr. Prabhjot Kaur Bajaj,Pediatrician,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics",20,Patparganj, Delhi,0,0,800
Dr. Baijul Desai,Pediatrician,"DNB - Paediatrics, MBBS",8,Ghatkopar West, Mumbai,0,0,800
Dr. Syed Tajamul,Pediatrician,"MBBS, MD - Pediatrics, DNB - Paediatrics, Diploma in Child Health (DCH), Fellowship in Neonatology",15,Bellandur, Bangalore,99,375,850
Dr. Laxmi Prasanna I,Pediatrician,"MBBS, Diploma in Child Health (DCH)",13,Nacharam, Hyderabad,81,16,500
Dr. Anupama Tapadia,Pediatrician,"MBBS, Diploma in Child Health (DCH)",15,Hadapsar, Pune,91,11,400
Dr. Anitha V P,Pediatrician,"MBBS, Diploma in Child Health (DCH)",29,Aminjikarai, Chennai,0,0,500
Dr. Varun Vij,Pediatrician,"MD - Pediatrics, MBBS",14,Saket, Delhi,0,0,1000
Dr. T Muthusamy,Pediatrician,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH)",44,Anna Nagar, Chennai,0,0,400
Dr. Akshay Ballal,Pediatrician,"MBBS, MD - Pediatrics",14,Sarjapur Road, Bangalore,0,0,750
Dr. D. Srikanth Reddy,Pediatrician,"MBBS, Diploma in Child Health (DCH)",21,Ramanthapur, Hyderabad,94,17,600
Dr. Anand Kumar K,Pediatrician,"MBBS, MD - Pediatrics, FNB -  Pediatric Hematology Oncology, Fellowship in Bone Marrow Transplant",8,Yeshwanthpur, Bangalore,0,0,500
Dr. Vishal Muley,Pediatrician,MD - Pediatrics,6,Pimple Nilakh, Pune,0,0,300
Dr. T Annapoorna,Pediatrician,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",20,Lakdikapul, Hyderabad,0,0,500
Dr. Anil Kumar Kalra,Pediatrician,"MBBS, MD - Pediatrics",44,Paschim Vihar, Delhi,95,38,800
Dr. Jayati Jhala,Pediatrician,"MD - Pediatrics, MBBS",5,Mehdipatnam, Hyderabad,0,0,1000
Dr. Neha Jain Rajkumar,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",14,HSR Layout, Bangalore,0,0,500
Dr. Kaustubh Prabhudesai,Pediatrician,"DNB - Pediatrics, MBBS",11,Baner, Pune,0,0,500
Dr. Mandeep Kaur Walia,Pediatrician,"MBBS, MD - Pediatrics",26,Vasant Kunj, Delhi,86,21,700
Dr. Himanshu Batra,Pediatrician,"MBBS, DNB - Paediatrics",11,Dwarka Sector 6, Delhi,0,0,900
Dr. Brinda Dave   (Physiotherapist),Physiotherapist,"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT",14,Ravet, Pune,100,29,400
Dr. Avani Khadepau   (Physiotherapist),Physiotherapist,BPTh/BPT,20,Kandivali West, Mumbai,0,0,500
Dr. Rupalini Sastry   (Physiotherapist),Physiotherapist,BPTh/BPT,17,Yelahanka, Bangalore,97,31,400
Dr. Devendra Naik   (Physiotherapist),Physiotherapist,BPTh/BPT,2,CV Raman Nagar, Bangalore,0,0,250
Dr. Shiva Kumar Durgam   (Physiotherapist),Physiotherapist,BPTh/BPT,18,Madhapur, Hyderabad,90,30,500
Dr. Disha Bamboli   (Physiotherapist),Physiotherapist,"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT",9,Jogeshwari West, Mumbai,100,54,500
Dr. Nidhi Kumar   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",17,Rajouri Garden, Delhi,99,110,800
Dr. Minita Mehta Solanki   (Physiotherapist),Physiotherapist,BPTh/BPT,11,Andheri West, Mumbai,97,32,500
Dr. Nabanita Chetry   (Physiotherapist),Physiotherapist,BPTh/BPT,3,Nagarbhavi, Bangalore,0,0,400
Dr. Reena Panigrahi   (Physiotherapist),Physiotherapist,BPTh/BPT,7,Bilekahalli, Bangalore,95,19,500
Dr. Banushree.B   (Physiotherapist),Physiotherapist,BPTh/BPT,4,Uttarahalli, Bangalore,0,0,300
Dr. U Hemalatha   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy",13,Tambaram West, Chennai,93,28,500
Dr. Akshina Gupta   (Physiotherapist),Physiotherapist,BPTh/BPT,8,Khar West, Mumbai,100,19,1500
Dr. Ritika Patel   (Physiotherapist),Physiotherapist,"Masters of Physiotheraphy, BPTh/BPT, Fellowship in Sports Science (FSS)",14,Indiranagar, Bangalore,98,183,650
Dr. Nikita Bhatia   (Physiotherapist),Physiotherapist,BPTh/BPT,7,Koregaon Park, Pune,0,0,600
Dr. M.A. Vanipriya   (Physiotherapist),Physiotherapist,"BPTh/BPT, MD - Acupuncture, Diploma in Acupuncture",14,Thoraipakkam, Chennai,97,37,400
Dr. Meena Venkat Reddy   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",9,Whitefield, Bangalore,0,0,1000
Dr. Helen S   (Physiotherapist),Physiotherapist,BPTh/BPT,4,CV Raman Nagar, Bangalore,0,0,250
Dr. M Srilaxmi   (Physiotherapist),Physiotherapist,BPTh/BPT,6,KPHB, Hyderabad,0,0,400
Dr. Titiksha Farooqui   (Physiotherapist),Physiotherapist,BPTh/BPT,8,Opera House, Mumbai,91,22,600
Dr. Anuj Gupta   (Physiotherapist),Physiotherapist,BPTh/BPT,5,Paschim Vihar, Delhi,0,0,500
Dr. Vanitha Pudukapu   (Physiotherapist),Physiotherapist,BPTh/BPT,13,Whitefield, Bangalore,100,19,300
Dr. D Prasad Rao   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",7,Attapur, Hyderabad,98,41,400
Dr. Anisha Mukund   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Andheri West, Mumbai,0,0,800
Dr. Bijo Joy   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPT/MPTh - Sports Medicine",7,Whitefield, Bangalore,0,0,1000
Dr. Sana Zubair   (Physiotherapist),Physiotherapist,BPTh/BPT,4,Jayanagar 7 Block, Bangalore,0,0,350
Dr. Kunga Tsering   (Physiotherapist),Physiotherapist,BPTh/BPT,7,Indiranagar, Bangalore,0,0,650
Dr. Andrea Rebello   (Physiotherapist),Physiotherapist,BPTh/BPT,2,Juhu, Mumbai,0,0,1000
Dr. Garima Anandani   (Physiotherapist),Physiotherapist,BSc. (Hons.) - Physical Therapy,22,Ghatkopar East, Mumbai,0,0,0
Dr. Uma Venkatesa   (Physiotherapist),Physiotherapist,BPTh/BPT,33,Adyar, Chennai,0,0,2000
Dr. Pankaj Chaudhari   (Physiotherapist),Physiotherapist,BPTh/BPT,15,Aundh, Pune,0,0,350
Dr. Roli Dave   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy",24,Powai, Mumbai,0,0,530
Dr. Aparna Nair   (Physiotherapist),Physiotherapist,BPTh/BPT,3,Powai, Mumbai,100,15,500
Dr. Pooja Vora Jhonsa   (Physiotherapist),Physiotherapist,BSc - Physiotherapy,21,Ghatkopar East, Mumbai,100,88,700
Dr. Shankarlal Tak   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",16,Nagawara, Bangalore,0,0,300
Dr. Amit K Shrivastav   (Physiotherapist),Physiotherapist,"MPTh/MPT - Musculoskeletal Physiotherapy, BPTh/BPT",16,BTM Layout 2nd Stage, Bangalore,96,820,750
Dr. Jayanth   (Physiotherapist),Physiotherapist,BPTh/BPT,17,Gachibowli, Hyderabad,100,13,700
Dr. Sudhakar Subramanian   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy, PhD - Physiotherapy",22,Virugambakkam, Chennai,0,0,200
Dr. Y. Rahul   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Somajiguda, Hyderabad,100,12,300
Dr. Pamela Narayan   (Physiotherapist),Physiotherapist,"MSc. - Physiotherapy, BPTh/BPT",31,Himayat Nagar, Hyderabad,99,175,750
Dr. Monish Mehta   (Physiotherapist),Physiotherapist,BPTh/BPT,8,Khar West, Mumbai,100,78,1500
Dr. Annie Angel Joseph   (Physiotherapist),Physiotherapist,BPTh/BPT,3,Malleswaram, Bangalore,0,0,500
Dr. Mahesh Bagaria   (Physiotherapist),Physiotherapist,BPTh/BPT,4,New Rajendra Nagar, Delhi,0,0,500
Dr. Sarika Jambhulkar   (Physiotherapist),Physiotherapist,MPTh/MPT - Musculoskeletal Sciences,11,Andheri West, Mumbai,97,384,1500
Dr. Subodh  Kumar Mahato   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",9,Dasarahalli, Bangalore,100,42,500
Dr. Priyanka Chaudhary   (Physiotherapist),Physiotherapist,BPTh/BPT,4,Nagarbhavi, Bangalore,0,0,400
Dr. Rahul Sekhri   (Physiotherapist),Physiotherapist,"BPTh/BPT, Diploma in Diet and Nutrition",13,Preet Vihar, Delhi,97,119,500
Dr. D. Prem Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,8,Boduppal, Hyderabad,0,0,300
Dr. Apeksha M   (Physiotherapist),Physiotherapist,BPTh/BPT,11,Kothrud, Pune,100,40,500
Dr. M A M Raheman   (Physiotherapist),Physiotherapist,BPTh/BPT,15,Kokapet, Hyderabad,0,0,400
Dr. Sibina D Solanki   (Physiotherapist),Physiotherapist,BPTh/BPT,13,Baner, Pune,100,20,600
Dr. Aditi Singh   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",18,Jayanagar 9 Block, Bangalore,98,127,500
Dr. Sasikumar A   (Physiotherapist),Physiotherapist,BPTh/BPT,2,Manali, Chennai,0,0,250
Dr. Riddi Suvarna   (Physiotherapist),Physiotherapist,BPTh/BPT,5,Banashankari 2nd Stage, Bangalore,0,0,750
Dr. Niddhi Sanghvi   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",14,Churchgate, Mumbai,0,0,0
Dr. Sumalatha Arkatu   (Physiotherapist),Physiotherapist,BPTh/BPT,7,Whitefield, Bangalore,0,0,1000
Dr. Akshay Gaurish Wagh   (Physiotherapist),Physiotherapist,Diploma in Physiotherapy,10,Santacruz West, Mumbai,99,141,2500
Dr. Morzia Khatoon   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",7,Koramangala 5 Block, Bangalore,100,11,500
Dr. Aamir K.   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",11,HSR Layout, Bangalore,98,165,600
Dr. Ajaz Ahmad,Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy, Diploma in Physiotherapy",16,Saket, Delhi,94,244,700
Dr. Disha Ashar   (Physiotherapist),Physiotherapist,MPTh/MPT - Musculoskeletal Physiotherapy,12,Linking Road, Mumbai,0,0,0
Dr. Rukhsar Ansari   (Physiotherapist),Physiotherapist,BPTh/BPT,7,Powai, Mumbai,0,0,0
Dr. Vaishnavi Suresh   (Physiotherapist),Physiotherapist,"MPTh/MPT - Musculoskeletal Sciences, BPTh/BPT",5,Kumaraswamy Layout, Bangalore,0,0,400
Dr. Surbhi Sharma   (Physiotherapist),Physiotherapist,BPTh/BPT,17,Vasant Kunj, Delhi,98,49,500
Dr. Zahra Hussain   (Physiotherapist),Physiotherapist,BPTh/BPT,10,Colaba, Mumbai,98,100,350
Dr. Bijal Patel   (Physiotherapist),Physiotherapist,BPTh/BPT,14,Kandivali East, Mumbai,0,0,350
Dr. Mitshu Doshi   (Physiotherapist),Physiotherapist,BPTh/BPT,14,Kandivali, Mumbai,97,108,400
Dr. Mohammed Jawad Mohsin   (Physiotherapist),Physiotherapist,BPTh/BPT,22,Dilsukhnagar, Hyderabad,0,0,650
Dr. Rajiv Mehta   (Physiotherapist),Physiotherapist,BPTh/BPT,23,Pitampura, Delhi,97,611,500
Dr. Ibhnu Hussain Gaffar   (Physiotherapist),Physiotherapist,BPTh/BPT,13,HSR Layout, Bangalore,98,46,500
Dr. Venkata Bharath Kumar   (Physiotherapist),Physiotherapist,MPTh/MPT - Sports Physiotherapy,3,Koramangala 5 Block, Bangalore,0,0,500
Dr. Utsav Shah   (Physiotherapist),Physiotherapist,MPTh/MPT - Musculoskeletal Physiotherapy,9,Prabhadevi, Mumbai,0,0,2500
Dr. K. K. Kant,Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy, PhD - Physiotherapy",11,Dwarka, Delhi,97,210,600
Dr. Bathri Narayanan   (Physiotherapist),Physiotherapist,BPTh/BPT,3,Ashoknagar, Bangalore,0,0,300
Dr. Sundari.M   (Physiotherapist),Physiotherapist,"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT, Certification in Sensory Integration (S.I)",23,Kilpauk, Chennai,98,116,850
Dr. Pankaj Kumar   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",6,Mahipalpur, Delhi,0,0,700
Dr. Kamalika M Bhattacharya   (Physiotherapist),Physiotherapist,BPTh/BPT,24,Kadubeesanahalli, Bangalore,99,137,500
Dr. Manish Rajput   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy",7,Malleswaram, Bangalore,0,0,0
Dr. Ankit Aggarwal   (Physiotherapist),Physiotherapist,MPTh/MPT - Orthopedic Physiotherapy,14,Safdarjung Enclave, Delhi,99,302,1000
Dr. Pooja S.M   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",13,Hoodi, Bangalore,100,77,350
Dr. Rajani Singh   (Physiotherapist),Physiotherapist,BPTh/BPT,3,Andheri East, Mumbai,0,0,600
Dr. N Vijayaramkrishna   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Dilsukhnagar, Hyderabad,0,0,650
Dr. Dimpy Gohrani   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",10,Hebbal, Bangalore,100,46,500
Dr. Sathya R   (Physiotherapist),Physiotherapist,"BPTh/BPT, BSS Master Diploma in Acupuncture",3,Anna Nagar, Chennai,0,0,400
Dr. Fiza Taj Samadh   (Physiotherapist),Physiotherapist,BPTh/BPT,14,CV Raman Nagar, Bangalore,81,27,300
Dr. Suresh Babu Gajula   (Physiotherapist),Physiotherapist,BPTh/BPT,10,Begumpet, Hyderabad,0,0,650
Dr. Raj Laxmi Chaturvedi   (Physiotherapist),Physiotherapist,BPTh/BPT,12,Rohini Sector 16, Delhi,95,21,500
Dr. Naziya Bagwan   (Physiotherapist),Physiotherapist,BPTh/BPT,15,Viman Nagar, Pune,100,64,500
Dr. Smaranika Das   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",12,Nallagandla, Hyderabad,98,41,500
Dr. Prince Prabhakar   (Physiotherapist),Physiotherapist,"MPTh/MPT - Cardio Respiratory Sciences, BPTh/BPT",4,Pimple Saudagar, Pune,0,0,300
Dr. Chinna Kondaiah Ballekuri   (Physiotherapist),Physiotherapist,BPTh/BPT,15,Chandra Nagar, Hyderabad,0,0,200
Dr. Kruti Harsh Mehta   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",13,Vikhroli, Mumbai,100,62,400
Dr. Gali Sharath   (Physiotherapist),Physiotherapist,BPTh/BPT,17,Sahakaranagar, Bangalore,0,0,650
Dr. Yashaswini Tanguturi   (Physiotherapist),Physiotherapist,BPTh/BPT,4,Madhapur, Hyderabad,0,0,400
Dr. Imranulla S   (Physiotherapist),Physiotherapist,MPTh/MPT - Orthopedic Physiotherapy,7,Jayanagar 4 Block, Bangalore,0,0,0
Dr. Mehdi Ali Khan   (Physiotherapist),Physiotherapist,BPTh/BPT,20,Himayat Nagar, Hyderabad,0,0,500
Dr. Karthikeyan   (Physiotherapist),Physiotherapist,BPTh/BPT,15,Electronics City, Bangalore,99,77,500
Dr. Saakshi Dhingra   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",16,CR Park, Delhi,99,270,700
Dr. Manjiri P thakur   (Physiotherapist),Physiotherapist,BPTh/BPT,13,Indiranagar, Bangalore,0,0,650
Dr. Munesh Singh   (Physiotherapist),Physiotherapist,BPTh/BPT,12,Bannerghatta Road, Bangalore,100,58,400
Dr. Suresh Babu   (Physiotherapist),Physiotherapist,BPTh/BPT,21,Marathahalli, Bangalore,85,72,400
Dr. M Sanjeeva Naik   (Physiotherapist),Physiotherapist,BPTh/BPT,2,Whitefield, Bangalore,0,0,500
Dr. Barabaridevender Shririsha   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Banjara Hills, Hyderabad,0,0,250
Dr. Rimmi Verma   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",13,Andheri West, Mumbai,100,25,800
Dr. Afreen   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Banjara Hills, Hyderabad,0,0,250
Dr. Mohammed Ameenuddin   (Physiotherapist),Physiotherapist,MPTh/MPT - Sports Physiotherapy,17,Shaikpet, Hyderabad,0,0,500
Dr. Shaikh Firdos Mukhtar Ahmed   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",12,Prabhadevi, Mumbai,100,13,1000
Dr. Mansi Bharvirkar (PT:Cardio-Pulmonary Rehab)   (Physiotherapist),Physiotherapist,BPTh/BPT,21,Aundh, Pune,0,0,500
Dr. Kranthi Kumar Kotapoori   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Kukatpally, Hyderabad,0,0,650
Dr. Sudharsan Venkatesan   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",12,Bellandur, Bangalore,0,0,500
Dr. Manali Babar   (Physiotherapist),Physiotherapist,BPTh/BPT,5,Mulund West, Mumbai,0,0,350
Dr. Umesh D Falak,Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",16,Deccan Gymkhana, Pune,97,143,1000
Dr. Khushboo Singh   (Physiotherapist),Physiotherapist,"MPTh/MPT - Orthopedic Physiotherapy, BPTh/BPT",13,Churchgate, Mumbai,0,0,0
Dr. Vijende Vankudoth   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Begumpet, Hyderabad,100,14,650
Dr. Ganapathy M D   (Physiotherapist),Physiotherapist,"Masters of Physiotheraphy, BPTh/BPT",16,HRBR Layout, Bangalore,0,0,400
Dr. R.Sri Rajalakshmi   (Physiotherapist),Physiotherapist,BPTh/BPT,16,Mandaveli, Chennai,0,0,300
Dr. Sanjay Bakhshi   (Physiotherapist),Physiotherapist,"BPTh/BPT, Diploma in Acupuncture, MPTh/MPT - Sports Physiotherapy, MPTh/MPT - Musculoskeletal Physiotherapy",25,Andheri West, Mumbai,97,696,1500
Dr. Cincy Sijo   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Whitefield, Bangalore,0,0,650
Dr. Anshika Mitra   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPT/MPTh - Sports Medicine",14,Rohini, Delhi,98,124,400
Dr. Sudha   (Physiotherapist),Physiotherapist,BPTh/BPT,13,Porur, Chennai,98,123,250
Dr. Gaurav Mohan   (Physiotherapist),Physiotherapist,BPTh/BPT,12,Laxmi Nagar, Delhi,100,297,500
Dr. Tuheena Sharma   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",10,Banjara Hills, Hyderabad,93,15,600
Dr. Abdul Waseem   (Physiotherapist),Physiotherapist,BPTh/BPT,6,Dilsukhnagar, Hyderabad,0,0,650
Dr. Ritika Gupta   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy",4,Safdarjung Enclave, Delhi,98,57,750
Dr. Nirmala Ekambaram   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",16,Mylapore, Chennai,100,28,350
Dr. Ravi Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,14,Chembur East, Mumbai,0,0,400
Dr. Jagruti Parghi   (Physiotherapist),Physiotherapist,BPTh/BPT,6,Parel, Mumbai,88,16,350
Dr. L Kiran Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,16,KPHB, Hyderabad,98,804,300
Dr. Vimal Sharma   (Physiotherapist),Physiotherapist,BPTh/BPT,16,Gulmohar Park, Delhi,98,183,1500
Dr. Monika Chopra   (Physiotherapist),Physiotherapist,BPTh/BPT,19,Baner, Pune,100,74,500
Dr. Aparna Shetty   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",3,HRBR Layout, Bangalore,0,0,390
Dr. Dharmesh Solanki   (Physiotherapist),Physiotherapist,"MPTh/MPT - Orthopedic Physiotherapy, BPTh/BPT",13,Baner, Pune,100,92,600
Dr. S.M. Shuja Kamran   (Physiotherapist),Physiotherapist,BPTh/BPT,1,Gachibowli, Hyderabad,0,0,600
Dr. Richa Gupta   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",14,Jagriti Enclave, Delhi,0,0,1200
Dr. Akula Venu Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,12,Begumpet, Hyderabad,0,0,650
Dr. Rajani Patil   (Physiotherapist),Physiotherapist,Doctor Of Physical Therapy (DPT),15,Dadar, Mumbai,96,339,1500
Dr. A.Lokesh   (Physiotherapist),Physiotherapist,"MSc. - Physiotherapy, BPTh/BPT",16,Adyar, Chennai,96,125,600
Dr. Anjali Agarwal   (Physiotherapist),Physiotherapist,BPTh/BPT,23,Kondapur, Hyderabad,96,535,300
Dr. Santosh Kumar   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Orthopedic Physiotherapy",13,Dwarka Sector 14, Delhi,99,108,500
Dr. Sonam Sahu   (Physiotherapist),Physiotherapist,BPTh/BPT,7,Attapur, Hyderabad,100,12,350
Dr. B.Girija Reddy   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Urology and Obstetrics",4,Whitefield, Bangalore,0,0,800
Dr. Chandra Sheker M   (Physiotherapist),Physiotherapist,BPTh/BPT,10,Kukatpally, Hyderabad,0,0,650
Dr. Samuel David   (Physiotherapist),Physiotherapist,Diploma in Physiotherapy,41,Jayanagar 9 Block, Bangalore,92,12,500
Dr. Vaibhav Talwar   (Physiotherapist),Physiotherapist,BPTh/BPT,11,Vasant Kunj, Delhi,97,60,1500
Dr. Naveen Babu   (Physiotherapist),Physiotherapist,"MPTh/MPT - Sports Physiotherapy, BPTh/BPT",7,Jubilee Hills, Hyderabad,96,892,1100
Dr. Sonia Baijal   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy",14,South Extension 1, Delhi,100,27,800
Dr. S.Vijeendran   (Physiotherapist),Physiotherapist,"BSc - Exercise Therapy for Disabled, MPT/MPTh - Cardio-Thoracic Physiotherapy",23,Banashankari 1st Stage, Bangalore,0,0,500
Dr. Samriddhi Shetty   (Physiotherapist),Physiotherapist,BPTh/BPT,6,Dadar, Mumbai,0,0,1000
Dr. Abhishek Kujur   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPT/MPTh - Sports Medicine",7,Indiranagar, Bangalore,0,0,650
Dr. Gaurav Sheel   (Physiotherapist),Physiotherapist,Masters of Physiotheraphy,12,Kundalahalli, Bangalore,94,16,500
Dr. Kalyani Rukmangad   (Physiotherapist),Physiotherapist,BPTh/BPT,6,Hinjewadi, Pune,100,16,300
Dr. Swagat Dhar   (Physiotherapist),Physiotherapist,BPTh/BPT,10,Malleswaram, Bangalore,91,112,500
Dr. P.V Rajan   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",13,Frazer Town, Bangalore,98,169,400
Dr. Kinjal Anandpara   (Physiotherapist),Physiotherapist,"Doctor Of Physical Therapy (DPT), BPTh/BPT",15,Prabhadevi, Mumbai,100,24,3000
Dr. Abu Jonayed   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy",8,Siri Fort Road, Delhi,0,0,1000
Dr. Mamidi Saichand   (Physiotherapist),Physiotherapist,BPTh/BPT,6,Kukatpally, Hyderabad,0,0,650
Dr. Mukesh Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,3,Saket, Delhi,100,12,500
Dr. Deepti Chhabra   (Physiotherapist),Physiotherapist,BPTh/BPT,16,Janakpuri, Delhi,100,31,500
Dr. Swati Sharma   (Physiotherapist),Physiotherapist,BPTh/BPT,9,Vasant Kunj, Delhi,98,45,500
"Dr. S.Srinivas .PT, C-PS   (Physiotherapist)",Physiotherapist,"BPTh/BPT, MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy",14,Gachibowli, Hyderabad,90,41,300
Dr. Sayed Junaid Khadri   (Physiotherapist),Physiotherapist,BPTh/BPT,11,Banjara Hills, Hyderabad,0,0,250
Dr. Ramakanth   (Physiotherapist),Physiotherapist,BPTh/BPT,18,Ecil, Hyderabad,0,0,400
Dr. Hemanth Kumar   (Physiotherapist),Physiotherapist,BPTh/BPT,13,HSR Layout, Bangalore,0,0,700
Dr. Megha Mehta   (Physiotherapist),Physiotherapist,"MPTh/MPT - Sports Physiotherapy, BPTh/BPT",7,Hadapsar, Pune,99,201,600
Dr. Janhavi Rankhambe   (Physiotherapist),Physiotherapist,BSc - Physiotherapy,24,Powai, Mumbai,0,0,530
Dr. Anuj Sharma   (Physiotherapist),Physiotherapist,MPTh/MPT - Orthopedic Physiotherapy,10,Dilshad Garden, Delhi,0,0,300
Dr. Nirali Patel   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",8,Wakad, Pune,0,0,500
Dr. Jyothi K R   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",15,Kundalahalli, Bangalore,0,0,500
Dr. Anisethy Bharat   (Physiotherapist),Physiotherapist,BPTh/BPT,20,Banjara Hills, Hyderabad,0,0,250
Dr. Ketaki Shingare   (Physiotherapist),Physiotherapist,"BPTh/BPT, MSc. - Applying Physiotherapy (Musculoskeletal)",12,Ghatkopar East, Mumbai,0,0,600
Dr. Renuka Dharmale   (Physiotherapist),Physiotherapist,BPTh/BPT,20,Wakad, Pune,97,69,300
Dr. Somasekhar Bolla   (Physiotherapist),Physiotherapist,BPTh/BPT,11,Kukatpally, Hyderabad,0,0,650
Dr. R. Vidyalakshmi   (Physiotherapist),Physiotherapist,MPTh/MPT - Sports Physiotherapy,13,Madambakkam, Chennai,0,0,500
Dr. Kunjal Shah   (Physiotherapist),Physiotherapist,"BPTh/BPT, MPTh/MPT - Sports Physiotherapy",15,Santacruz West, Mumbai,100,12,1200
Dr. Kiran Yadav   (Physiotherapist),Physiotherapist,"BPTh/BPT, Masters of Physiotheraphy",11,BTM Layout, Bangalore,0,0,500
Dr. Sindhu Shashidharan   (Physiotherapist),Physiotherapist,BPTh/BPT,6,HSR Layout, Bangalore,0,0,300
